State,Selected meteorological station ,Height above mean sea level in metres,Year,Mean temperature-Min (oC),Mean temperature-Max (oC),Rainfall-Total (mm),Rainfall-No. of days,Mean relative humidity (%)
Perak,Ipoh,(40.1m),2001,24.1,32.9,2422.7,202.0,83.7
Perak,Sitiawan,(6.8m),2001,23.6,32.5,1497.4,189.0,84.0
Perlis,Chuping  ,(21.7m),2001,23.8,32.8,1789.4,185.0,82.9
Pulau Pinang,Bayan Lepas,(2.5 m),2001,24.7,31.6,2334.7,189.0,80.5
Pulau Pinang,Butterworth,(3.3m),2001,24.0,32.1,2237.9,195.0,80.9
Sabah,Kota Kinabalu,(2.1m),2001,23.9,31.7,3155.9,221.0,83.8
Sabah,Kudat,(3.5m),2001,24.1,31.4,3123.9,199.0,84.9
Sabah,Sandakan,(12.1m),2001,24.2,31.5,3563.7,197.0,83.8
Sabah,Tawau,(17.5m),2001,23.4,31.2,1755.9,189.0,83.4
Sarawak,Kuching,(20.9m),2001,23.3,31.8,3786.0,251.0,84.9
Sarawak,Miri ,(17.0m),2001,23.9,31.2,2989.1,203.0,85.0
Selangor,"Kuala Lumpur International Airport (KLIA), Sepang",(16.1m),2001,24.3,32.3,2210.9,214.0,82.6
Selangor,Subang,(16.6m),2001,24.2,32.8,2651.5,212.0,79.2
Terengganu,Kuala Terengganu,(5.2m),2001,23.8,31.9,2580.4,166.0,84.0
Wilayah Persekutuan Labuan,Labuan,(27.9m),2001,25.3,31.1,3652.6,222.0,82.6
Johor,Senai,(37.8m),2002,22.8,31.7,2616.2,186.0,84.7
Johor,Kluang,(88.1m),2002,23.4,32.7,1860.0,175.0,85.1
Kedah,Alor Setar,(3.9m),2002,23.8,33.1,2193.6,162.0,78.7
Kedah,Pulau Langkawi,(6.4m),2002,25.2,32.9,2135.6,168.0,77.0
Kelantan,Kota Bharu,(4.4m),2002,24.3,31.8,2230.9,149.0,81.5
Kelantan,Kuala Krai,(34.9 m),2002,22.9,32.9,1542.8,176.0,84.4
Melaka,Melaka,(8.5m),2002,24.1,32.8,2082.3,158.0,80.1
Pahang,Kuantan,(15.2m),2002,23.7,32.4,2536.8,173.0,81.4
Pahang,Cameron Highlands,"(1,545.0m)",2002,15.3,23.3,2816.6,203.0,89.7
Perak,Ipoh,(40.1m),2002,24.4,33.7,1987.8,168.0,81.6
Perak,Sitiawan,(6.8m),2002,23.6,32.9,1653.2,146.0,83.5
Perlis,Chuping  ,(21.7m),2002,23.8,33.1,1902.6,156.0,81.7
Pulau Pinang,Bayan Lepas,(2.5 m),2002,25.1,32.4,1876.2,155.0,75.1
Pulau Pinang,Butterworth,(3.3m),2002,24.1,32.8,1844.8,158.0,79.5
Sabah,Kota Kinabalu,(2.1m),2002,23.9,32.4,1967.2,154.0,79.2
